"STATE","ST_CASE","VEH_NO","VE_FORMS","NUMOCCS","DAY","MONTH","HOUR","MINUTE","HARM_EV","MAN_COLL","UNITTYPE","HIT_RUN","REG_STAT","OWNER","MAKE","MODEL","MAK_MOD","BODY_TYP","MOD_YEAR","VIN","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","TOW_VEH","J_KNIFE","MCARR_I1","MCARR_I2","MCARR_ID","GVWR","V_CONFIG","CARGO_BT","HAZ_INV","HAZ_PLAC","HAZ_ID","HAZ_CNO","HAZ_REL","BUS_USE","SPEC_USE","EMER_USE","TRAV_SP","UNDERIDE","ROLLOVER","ROLINLOC","IMPACT1","DEFORMED","TOWED","M_HARM","VEH_SC1","VEH_SC2","FIRE_EXP","DR_PRES","L_STATE","DR_ZIP","L_STATUS","L_TYPE","CDL_STAT","L_ENDORS","L_COMPL","L_RESTRI","DR_HGT","DR_WGT","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","FIRST_MO","FIRST_YR","LAST_MO","LAST_YR","SPEEDREL","DR_SF1","DR_SF2","DR_SF3","DR_SF4","VTRAFWAY","VNUM_LAN","VSPD_LIM","VALIGN","VPROFILE","VPAVETYP","VSURCOND","VTRAFCON","VTCONT_F","P_CRASH1","P_CRASH2","P_CRASH3","PCRASH4","PCRASH5","ACC_TYPE","TRLR1VIN","TRLR2VIN","TRLR3VIN","DEATHS","DR_DRINK"
1,10017,1,1,1,11,1,19,43,34,0,1,0,1,2,20,401,20401,14,2002,"1GNCS13W92K1","1","G","N","C","S","1","3","W","9","2","K","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,55,0,1,5,12,6,2,1,0,0,0,1,1,35963,1,1,0,0,2,0,70,165,1,1,1,0,0,7,2011,8,2011,3,0,0,0,0,1,2,45,2,1,2,1,0,0,14,13,1,1,4,1,"777777777777","777777777777","777777777777",1,1
1,10018,1,1,1,13,1,8,0,34,0,1,0,1,2,20,37,20037,4,2015,"1G11C5SL1FF3","1","G","1","1","C","5","S","L","1","F","F","3",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,60,0,1,5,12,6,2,42,0,0,0,1,1,35768,6,1,0,0,3,0,73,200,0,0,0,1,0,5,2015,5,2015,3,0,0,0,0,1,2,40,3,1,2,1,0,0,14,13,1,1,4,1,"777777777777","777777777777","777777777777",1,0
1,10019,1,1,7,13,1,16,35,34,0,1,0,1,2,20,401,20401,14,2002,"1GNDT13S9221","1","G","N","D","T","1","3","S","9","2","2","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,65,0,1,5,6,6,2,42,0,0,0,1,1,35175,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,2,65,1,6,2,1,0,0,1,10,7,3,4,2,"777777777777","777777777777","777777777777",1,0
1,10020,1,2,4,10,1,1,20,12,6,1,0,1,3,7,482,7482,40,2015,"1C6RR7GT4FS5","1","C","6","R","R","7","G","T","4","F","S","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,12,0,0,0,1,1,36850,6,2,0,0,3,0,75,170,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,2,35,1,3,2,2,20,3,1,17,1,1,1,88,"777777777777","777777777777","777777777777",0,1
1,10020,2,2,4,10,1,1,20,12,6,1,0,1,1,52,401,52401,14,1997,"JA4MR41RXVJ0","J","A","4","M","R","4","1","R","X","V","J","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,9,6,2,12,0,0,0,1,1,36850,6,1,0,0,3,0,65,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,1,3,2,2,20,3,1,66,99,1,1,89,"777777777777","777777777777","777777777777",4,0
1,10021,1,2,1,13,1,7,30,12,6,1,0,1,1,7,402,7402,14,1999,"1B4HS28Z2XF6","1","B","4","H","S","2","8","Z","2","X","F","6",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,15,0,1,5,3,6,2,12,0,0,0,1,1,35650,6,1,0,0,3,1,66,157,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,2,55,1,1,2,1,20,3,1,17,99,1,1,87,"777777777777","777777777777","777777777777",1,0
1,10021,2,2,2,13,1,7,30,12,6,1,0,1,3,12,881,12881,62,1999,"1FDWR82E8RVA","1","F","D","W","R","8","2","E","8","R","V","A",0,0,57,"2186426","572186426",2,1,3,1,0,0,0,0,0,0,0,65,0,0,0,12,6,2,12,0,0,0,1,1,35674,6,1,0,0,3,0,72,300,1,0,0,0,2,6,2013,10,2015,0,0,0,0,0,2,2,65,1,6,2,1,0,0,1,66,99,1,1,86,"777777777777","777777777777","777777777777",0,0
1,10022,1,2,1,14,1,10,35,12,6,1,0,1,1,12,401,12401,14,1999,"1FMZU34E5XZB","1","F","M","Z","U","3","4","E","5","X","Z","B",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,12,6,2,12,0,0,0,1,1,35117,1,1,0,0,2,0,72,160,0,1,0,1,2,1,2011,2,2014,0,39,37,0,0,1,3,25,1,1,2,1,3,3,1,17,1,1,1,86,"777777777777","777777777777","777777777777",1,0
1,10022,2,2,1,14,1,10,35,12,6,1,0,1,3,98,881,98881,63,2007,"2FZHAWDJ57AY","2","F","Z","H","A","W","D","J","5","7","A","Y",0,0,57,"433949","57433949",3,2,3,1,0,0,0,0,0,0,0,30,0,0,0,1,6,2,12,0,0,0,1,1,35173,6,1,6,0,3,0,72,250,1,0,0,0,0,4,2014,4,2014,0,89,0,0,0,1,2,35,1,1,2,1,3,3,1,66,99,1,1,87,"777777777777","777777777777","777777777777",0,0
1,10023,1,1,2,14,1,4,35,34,0,1,0,92,0,20,2,20002,4,2008,"2G1WB58K3811","2","G","1","W","B","5","8","K","3","8","1","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,1,6,2,2,0,0,1,1,1,35611,2,7,0,0,2,1,73,250,0,1,0,0,0,3,2013,3,2013,3,0,0,0,0,1,2,55,1,1,2,1,0,0,1,13,99,1,4,1,"777777777777","777777777777","777777777777",2,0
1,10024,1,1,3,14,1,13,45,8,0,1,0,1,1,37,32,37032,2,1998,"1HGCG2250WA0","1","H","G","C","G","2","2","5","0","W","A","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,8,0,0,0,1,1,36701,6,1,0,0,3,1,61,140,1,0,0,0,0,9,2013,9,2013,3,0,0,0,0,1,2,15,1,6,2,1,0,0,1,3,99,9,4,2,"777777777777","777777777777","777777777777",0,0
1,10025,1,2,1,15,1,21,45,12,6,1,0,1,1,49,471,49471,31,1983,"JT4RN44S0D11","J","T","4","R","N","4","4","S","0","D","1","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,10,6,2,12,0,0,0,1,1,36265,6,1,0,0,3,1,69,190,0,0,0,0,0,0,0,0,0,0,89,38,0,0,1,2,45,1,1,2,2,20,3,1,17,1,1,1,89,"777777777777","777777777777","777777777777",1,1
1,10025,2,2,3,15,1,21,45,12,6,1,0,1,1,12,481,12481,31,1994,"1FTEF14Y4RNA","1","F","T","E","F","1","4","Y","4","R","N","A",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,65,7,0,0,12,6,2,12,0,0,0,1,1,36277,6,1,0,0,3,0,63,90,0,0,0,0,1,9,2015,9,2015,0,0,0,0,0,2,3,65,1,1,2,2,0,0,1,66,99,1,1,88,"777777777777","777777777777","777777777777",0,0
1,10026,1,3,2,15,1,12,43,1,0,1,0,1,1,52,46,52046,4,2009,"JA3AU86W59U0","J","A","3","A","U","8","6","W","5","9","U","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,1,3,0,6,2,12,0,0,0,1,1,35758,6,1,0,0,3,1,69,162,0,0,0,0,0,0,0,0,0,0,89,85,0,0,2,2,65,1,1,2,2,0,0,1,61,6,1,4,8,"777777777777","777777777777","777777777777",1,0
1,10026,2,3,2,15,1,12,43,1,0,1,0,1,2,37,402,37402,14,2014,"2HKRM3H38EH5","2","H","K","R","M","3","H","3","8","E","H","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35763,6,1,0,0,3,1,70,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,65,1,1,2,2,0,0,1,62,99,1,1,98,"777777777777","777777777777","777777777777",0,0
1,10026,3,3,1,15,1,12,43,1,0,1,0,1,2,63,37,63037,6,2012,"KNDJT2A52C73","K","N","D","J","T","2","A","5","2","C","7","3",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35810,6,1,0,0,3,0,74,210,0,0,0,1,0,3,2015,3,2015,0,89,0,0,0,2,2,65,1,1,2,2,0,0,1,62,99,1,1,98,"777777777777","777777777777","777777777777",0,0
1,10027,1,1,1,15,1,20,9,42,0,1,0,1,2,58,33,58033,4,1999,"JNKCP11A5XT0","J","N","K","C","P","1","1","A","5","X","T","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,42,0,0,0,1,1,36605,0,0,0,0,0,0,71,170,0,0,0,0,0,0,0,0,0,0,8,28,0,0,1,2,35,1,1,2,1,0,0,1,9,99,4,4,7,"777777777777","777777777777","777777777777",1,1
1,10028,1,1,2,15,1,14,35,42,0,1,0,1,1,22,18,22018,4,2001,"1G2NF52TX1M6","1","G","2","N","F","5","2","T","X","1","M","6",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,12,6,2,2,0,0,1,1,1,35121,6,1,0,0,3,0,69,150,1,0,0,0,2,7,2013,7,2014,4,0,0,0,0,1,2,55,3,1,2,2,0,0,14,6,99,1,4,1,"777777777777","777777777777","777777777777",2,0
1,10029,1,2,1,14,1,11,54,12,2,1,0,1,2,35,47,35047,4,2012,"1N4AL2AP2CN4","1","N","4","A","L","2","A","P","2","C","N","4",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,12,6,2,12,0,0,0,1,1,35150,6,1,6,0,3,0,72,195,2,1,0,2,3,10,2011,2,2015,3,28,0,0,0,1,2,55,2,5,2,1,0,0,14,10,1,1,2,50,"777777777777","777777777777","777777777777",1,0
1,10029,2,2,1,14,1,11,54,12,2,1,0,1,2,87,881,87881,66,1989,"1XP5DB9X8KN2","1","X","P","5","D","B","9","X","8","K","N","2",1,1,57,"2119724","572119724",3,6,10,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,1,36266,6,1,6,0,3,1,68,253,0,0,0,1,3,5,2013,4,2015,0,0,0,0,0,1,2,55,3,6,2,1,0,0,14,62,1,1,1,51,"888888888888","777777777777","777777777777",0,0
1,10030,1,1,3,10,1,4,23,42,0,1,0,1,2,20,2,20002,4,2008,"2G1WB58K1812","2","G","1","W","B","5","8","K","1","8","1","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,4,6,2,42,0,0,0,1,1,35661,6,1,0,0,3,0,69,212,1,0,0,2,0,5,2013,7,2015,3,0,0,0,0,1,4,35,3,1,2,1,0,0,14,13,99,4,4,2,"777777777777","777777777777","777777777777",1,0
1,10031,1,3,2,21,1,14,24,12,8,1,0,1,1,20,499,20499,39,2003,"1GCEK14V03Z2","1","G","C","E","K","1","4","V","0","3","Z","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,10,6,2,12,0,0,0,1,1,36067,6,1,0,0,3,2,70,224,0,1,0,0,1,2,2011,6,2012,0,28,74,0,0,5,5,55,1,1,2,2,0,0,1,10,1,1,2,64,"777777777777","777777777777","777777777777",0,0
1,10031,2,3,1,21,1,14,24,12,8,1,0,1,2,7,482,7482,40,2013,"1C6RR6KT8DS7","1","C","6","R","R","6","K","T","8","D","S","7",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,10,2,5,12,0,0,0,1,1,36054,6,1,6,0,3,2,74,312,3,0,0,0,2,1,2012,5,2015,0,74,0,0,0,5,5,55,1,1,2,2,0,0,1,62,99,1,1,65,"777777777777","777777777777","777777777777",0,0
